id,name,latitude,longitude,rating,price_level,googleMapsUri
ChIJu1RYJq2TiF8RpFQh3-JETm4,㈱AZARA,38.8769488,141.588596,,,https://maps.google.com/?cid=7948366133552305316&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJF0rkh4uUiF8RZb4GoY0_-jc,Umi no Ichi,38.9000427,141.5798062,3.8,,https://maps.google.com/?cid=4033606293788212837&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJb0zlgfiTiF8Rt2O89sBfY_c,Karakuwa peninsula,38.8819102,141.65318729999998,4.0,,https://maps.google.com/?cid=17826197032440456119&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJy4yO3IMkkF8RajDU3QUKXYs,Namahage Statue,39.864771999999995,139.7542383,3.9,,https://maps.google.com/?cid=10042193764418859114&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ4weGk-nCj18REyTQRtaGltI,すし匠,39.7164845,140.11618629999998,4.4,,https://maps.google.com/?cid=15174464249340634131&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJWbYZ8aWPjl8RVml47Gs2xDo,Roadside station Chokai Flat,39.0601312,139.8753681,3.8,,https://maps.google.com/?cid=4234569386791823702&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJW2rakxoEjF8Ry4AW7J704qM,Dewasanzan Shrine,38.7023491,139.98135299999998,4.5,,https://maps.google.com/?cid=11809270136321769675&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJF3ZO68UYjF8R7g7jsQC2bKM,Shonai Airport,38.815830999999996,139.7876746,3.8,,https://maps.google.com/?cid=11775987239767707374&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJLQiz5c8fjF8RCK3qOGpopFA,㈱米シスト庄内,38.8484142,139.87733509999998,5.0,,https://maps.google.com/?cid=5810884224645508360&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJAXXTvXOcjl8RMMdIyEbe62M,Rokubei,38.9591391,139.8388079,4.1,PRICE_LEVEL_INEXPENSIVE,https://maps.google.com/?cid=7200092824871159600&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
